Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Azir Azir	10	15	62%	5	5	50%	2.1	4.5	1.50	31:20	8.9	624	389	1.8	68	31
Yone Yone	6	17	58%	3	3	50%	2.5	3.7	1.50	36:42	8.5	533	412	-13.2	-415	-176
Taliyah Taliyah	10	10	50%	5	5	50%	3.3	4.7	1.30	34:01	8.9	691	406	1.4	-36	120
Ahri Ahri	9	3	29%	2	7	22%	4.0	7.7	1.33	34:18	8.6	661	405	-1.6	13	-176
Corki Corki	4	4	20%	2	2	50%	2.5	7.0	1.25	30:39	8.8	671	400	11	254	-142
Ryze Ryze	4	3	18%	2	2	50%	3.6	5.0	1.25	32:57	9.4	692	430	-0.8	-262	52
Viktor Viktor	7	1	17%	3	4	43%	4.0	5.0	1.71	34:25	8.5	865	394	8	132	475
Sylas Sylas	6	2	17%	4	2	67%	3.9	6.5	1.83	30:51	8.5	595	417	-4.7	-312	-159
Orianna Orianna	3	3	13%	2	1	67%	10.5	6.3	2.33	27:50	9.3	560	410	6.3	59	25
Aurora Aurora	1	4	12%	1	0	100%	8.0	4.8	2.00	39:22	7.9	1123	434	19	1003	431
Akali Akali	3	2	10%	1	2	33%	1.6	6.0	2.00	30:55	7.7	528	373	-4.7	33	-200
Hwei Hwei	4	1	9%	1	3	25%	4.0	9.0	1.75	34:50	8.5	791	399	-2.5	348	138
Galio Galio	1	2	8%	0	1	0%	0.5	7.5	1.00	27:08	9.2	264	346	-2	142	-337
Tristana Tristana	3	0	5%	3	0	100%	3.8	-	2.00	35:17	9.9	623	450	-10.3	-207	-737
Cassiopeia Cassiopeia	1	0	3%	1	0	100%	15.0	-	1.00	29:07	7.0	641	436	2	812	736
Xerath Xerath	1	0	3%	1	0	100%	11.0	-	1.00	28:35	8.9	877	424	12	246	843
Zed Zed	1	0	3%	1	0	100%	4.3	-	1.00	42:00	6.8	837	398	-3	-232	-370
